Generation,Nice,Bullies
1,200,200, 
2,200,199, 
3,200,199, 
4,199,199, 
5,199,197, 
6,198,196, 
7,197,195, 
8,198,195, 
9,197,194, 
10,196,193, 
11,196,191, 
12,195,190, 
13,195,188, 
14,194,188, 
15,193,188, 
16,192,188, 
17,192,186, 
18,191,185, 
19,192,185, 
20,191,185, 
21,191,185, 
22,190,185, 
23,189,184, 
24,188,183, 
25,188,183, 
26,188,183, 
27,188,182, 
28,188,180, 
29,188,180, 
30,187,179, 
31,187,177, 
32,188,177, 
33,188,175, 
34,188,174, 
35,188,172, 
36,187,171, 
37,187,169, 
38,187,168, 
39,186,168, 
40,185,167, 
41,184,167, 
42,184,167, 
43,183,166, 
44,182,165, 
45,181,164, 
46,181,164, 
47,180,163, 
48,181,163, 
49,180,163, 
50,179,162, 
51,179,162, 
52,178,161, 
53,178,160, 
54,178,160, 
55,178,159, 
56,177,159, 
57,176,158, 
58,176,158, 
59,176,156, 
60,175,156, 
61,174,155, 
62,174,153, 
63,174,153, 
64,174,153, 
65,174,152, 
66,173,152, 
67,173,151, 
68,174,151, 
69,174,150, 
70,174,150, 
71,173,150, 
72,173,149, 
73,173,147, 
74,173,146, 
75,172,145, 
76,172,144, 
77,171,144, 
78,170,143, 
79,170,142, 
80,170,140, 
81,170,139, 
82,170,139, 
83,170,139, 
84,170,137, 
85,170,136, 
86,170,135, 
87,169,134, 
88,169,134, 
89,169,133, 
90,169,132, 
91,168,131, 
92,167,130, 
93,167,129, 
94,166,129, 
95,166,128, 
96,166,127, 
97,166,126, 
98,165,125, 
99,164,125, 
100,164,124, 
101,163,123, 
102,163,124, 
103,162,123, 
104,161,122, 
105,160,122, 
106,159,121, 
107,159,120, 
108,158,119, 
109,158,118, 
110,157,117, 
111,156,116, 
112,156,115, 
113,157,115, 
114,157,114, 
115,157,113, 
116,157,114, 
117,157,114, 
118,157,115, 
119,156,114, 
120,155,114, 
121,154,113, 
122,153,112, 
123,152,111, 
124,152,110, 
125,151,109, 
126,151,108, 
127,152,108, 
128,152,107, 
129,152,106, 
130,152,106, 
131,152,106, 
132,152,106, 
133,151,106, 
134,150,105, 
135,149,105, 
136,148,105, 
137,148,104, 
138,148,102, 
139,148,101, 
140,147,100, 
141,147,99, 
142,146,98, 
143,145,98, 
144,145,97, 
145,145,97, 
146,144,96, 
147,144,95, 
148,144,96, 
149,143,95, 
150,143,95, 
151,143,94, 
152,143,95, 
153,142,95, 
154,141,94, 
155,141,93, 
156,141,93, 
157,141,93, 
158,142,93, 
159,141,92, 
160,141,90, 
161,141,89, 
162,141,89, 
163,142,89, 
164,142,88, 
165,141,88, 
166,141,88, 
167,140,87, 
168,140,87, 
169,139,86, 
170,139,86, 
171,138,85, 
172,137,84, 
173,138,84, 
174,137,83, 
175,136,82, 
176,136,82, 
177,135,82, 
178,134,81, 
179,134,81, 
180,135,81, 
181,135,80, 
182,135,78, 
183,134,77, 
184,134,77, 
185,133,76, 
186,132,75, 
187,132,75, 
188,131,74, 
189,131,73, 
190,131,71, 
191,130,70, 
192,130,70, 
193,129,70, 
194,128,69, 
195,127,68, 
196,126,67, 
197,126,67, 
198,125,67, 
199,124,66, 
200,124,64, 
201,124,64, 
202,125,64, 
203,125,64, 
204,125,64, 
205,124,63, 
206,124,62, 
207,124,62, 
208,124,61, 
209,125,61, 
210,124,61, 
211,123,61, 
212,123,61, 
213,123,61, 
214,123,60, 
215,122,59, 
216,121,59, 
217,121,57, 
218,121,58, 
219,121,57, 
220,121,58, 
221,121,57, 
222,121,56, 
223,121,55, 
224,120,54, 
225,120,53, 
226,120,52, 
227,119,51, 
228,118,51, 
229,119,51, 
230,119,51, 
231,119,50, 
232,119,50, 
233,118,49, 
234,117,48, 
235,117,48, 
236,117,47, 
237,117,48, 
238,117,48, 
239,118,48, 
240,118,47, 
241,118,46, 
242,118,46, 
243,118,47, 
244,117,47, 
245,117,46, 
246,117,45, 
247,117,44, 
248,117,44, 
249,117,43, 
250,117,42, 
251,116,42, 
252,115,41, 
253,114,41, 
254,114,41, 
255,114,40, 
256,113,39, 
257,113,39, 
258,112,38, 
259,112,37, 
260,111,36, 
261,111,36, 
262,110,35, 
263,110,35, 
264,111,35, 
265,111,34, 
266,111,34, 
267,110,34, 
268,110,35, 
269,110,34, 
270,110,34, 
271,110,34, 
272,110,33, 
273,110,33, 
274,110,33, 
275,110,33, 
276,110,33, 
277,110,32, 
278,111,32, 
279,111,31, 
280,111,32, 
281,112,32, 
282,112,32, 
283,111,32, 
284,110,32, 
285,109,32, 
286,109,31, 
287,110,31, 
288,111,31, 
289,111,31, 
290,111,30, 
291,110,30, 
292,110,30, 
293,110,30, 
294,110,30, 
295,110,29, 
296,110,29, 
297,111,29, 
298,112,29, 
299,112,28, 
300,111,28, 
